UID          PID    PPID  C STIME TTY          TIME CMD
syslog       730       1  0 21:25 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         731       1  0 21:25 ?        00:00:00 /usr/lib/snapd/snapd
root         732       1  0 21:25 ?        00:00:00 /usr/libexec/accounts-daemon
root         733       1  0 21:25 ?        00:00:00 /usr/libexec/switcheroo-control
root         734       1  0 21:25 ?        00:00:00 /lib/systemd/systemd-logind
root         735       1  0 21:25 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         736       1  0 21:25 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        740     719  0 21:25 ?        00:00:00 avahi-daemon: chroot helper
root         775       1  0 21:25 ?        00:00:00 /usr/sbin/ModemManager
root         777       1  0 21:25 ?        00:00:00 /usr/sbin/cupsd -l
root         780       1  0 21:25 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         827       1  0 21:25 ?        00:00:00 /usr/sbin/cups-browsed
root         832       1  0 21:25 ?        00:00:00 /usr/sbin/cron -f -P
root         848       1  0 21:25 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
kernoops     851       1  0 21:25 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     854       1  0 21:25 ?        00:00:00 /usr/sbin/kerneloops
root         863       1  0 21:25 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         873       1  0 21:25 ?        00:00:00 /usr/sbin/gdm3
rtkit        987       1  0 21:25 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1091       1  0 21:25 ?        00:00:00 /usr/libexec/upowerd
root        1122       1  0 21:25 ?        00:00:00 /usr/libexec/packagekitd
colord      1282       1  0 21:25 ?        00:00:00 /usr/libexec/colord
root        1329       1  0 21:25 ?        00:00:01 /usr/sbin/spice-vdagentd
root        1345     873  0 21:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
mert        1353       1  0 21:25 ?        00:00:00 /lib/systemd/systemd --user
mert        1354    1353  0 21:25 ?        00:00:00 (sd-pam)
mert        1360    1353  0 21:25 ?        00:00:00 /usr/bin/pipewire
mert        1361    1353  0 21:25 ?        00:00:00 /usr/bin/pipewire-media-session
mert        1362    1353  0 21:25 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
mert        1366       1  0 21:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
mert        1368    1353  0 21:25 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mert        1372    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfsd
mert        1377    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
mert        1397    1353  0 21:25 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
mert        1402    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
mert        1407    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
mert        1411    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
mert        1416    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
mert        1420    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
mert        1422    1345  0 21:25 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
mert        1426    1353  0 21:25 ?        00:00:00 /usr/libexec/goa-daemon
mert        1429    1422  0 21:25 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
mert        1451    1353  0 21:25 ?        00:00:00 /usr/libexec/goa-identity-service
mert        1485    1353  0 21:25 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
mert        1520    1353  0 21:25 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
mert        1533    1520  0 21:25 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
mert        1537    1353  3 21:25 ?        00:01:04 /usr/bin/gnome-shell
mert        1544    1533  0 21:25 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
mert        1559    1353  0 21:25 ?        00:00:00 /usr/libexec/xdg-permission-store
mert        1561    1353  0 21:25 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
mert        1570    1353  0 21:25 ?        00:00:00 /usr/libexec/evolution-source-registry
mert        1574    1353  0 21:25 ?        00:00:00 /usr/libexec/dconf-service
mert        1580    1353  0 21:25 ?        00:00:00 /usr/libexec/evolution-calendar-factory
mert        1590    1353  0 21:25 ?        00:00:00 /usr/libexec/gvfsd-metadata
mert        1596    1372  0 21:25 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
mert        1597    1353  0 21:25 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
mert        1611    1353  0 21:25 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
mert        1613    1353  0 21:25 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
mert        1623    1353  0 21:25 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
mert        1632    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-a11y-settings
mert        1634    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-color
mert        1636    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-datetime
mert        1638    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-housekeeping
mert        1639    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-keyboard
mert        1641    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-media-keys
mert        1642    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-power
mert        1643    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-print-notifications
mert        1654    1623  0 21:25 ?        00:00:05 /usr/bin/ibus-daemon --panel disable
mert        1669    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-rfkill
mert        1670    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
mert        1672    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-sharing
mert        1673    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-smartcard
mert        1674    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-sound
mert        1675    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-wacom
mert        1679    1353  0 21:25 ?        00:00:00 /usr/bin/spice-vdagent
mert        1729    1537  0 21:25 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.8A60Y1 -listen 4 -listen 5 -displayfd 6 -initfd 7
mert        1731    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-printer
mert        1740    1654  0 21:25 ?        00:00:00 /usr/libexec/ibus-dconf
mert        1741    1654  0 21:25 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
mert        1758    1353  0 21:25 ?        00:00:00 /usr/libexec/ibus-portal
mert        1762    1654  0 21:25 ?        00:00:01 /usr/libexec/ibus-engine-simple
mert        1769    1353  0 21:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal
mert        1776    1353  0 21:25 ?        00:00:00 /usr/libexec/gsd-xsettings
mert        1778    1353  0 21:25 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1798    1778  0 21:25 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
mert        1801    1353  0 21:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
mert        1809    1353  0 21:25 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
mert        1842    1353  0 21:25 ?        00:00:00 /usr/libexec/ibus-x11
mert        1871    1520  0 21:25 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
mert        1883    1520  0 21:25 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
mert        1933    1353  0 21:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
mert        1956    1537  0 21:25 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:74:0:0
mert        2316    1520  0 21:26 ?        00:00:00 update-notifier
root        2666       2  0 21:40 ?        00:00:00 [kworker/u8:1-events_unbound]
mert        2747    1353  0 21:42 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
mert        2750    1353  0 21:42 ?        00:00:00 /usr/bin/seahorse --gapplication-service
root        3322       2  0 21:43 ?        00:00:00 [kworker/0:1-events]
mert        3330    1537  0 21:46 ?        00:00:00 /usr/lib/libreoffice/program/oosplash --writer
mert        3365    3330  0 21:46 ?        00:00:04 /usr/lib/libreoffice/program/soffice.bin --writer
root        3427       2  0 21:49 ?        00:00:00 [kworker/1:0-events]
root        3436       2  0 21:50 ?        00:00:00 [kworker/u8:3-flush-253:0]
mert        3454    1353  0 21:51 ?        00:00:03 /usr/libexec/gnome-terminal-server
mert        3472    3454  0 21:51 pts/0    00:00:00 bash
mert        3526    1366  0 21:53 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3530       2  0 21:54 ?        00:00:00 [kworker/2:2-events]
root        3542       2  0 21:54 ?        00:00:00 [kworker/0:2-events]
root        3574       2  0 21:56 ?        00:00:00 [kworker/1:1-events]
mert        3582    1353  0 21:56 ?        00:00:00 ssh-agent -s
root        3615       2  0 21:58 ?        00:00:00 [kworker/u8:4]
mert        3626    3472  0 22:00 pts/0    00:00:00 ps -ef
